HUD frame time nsec:,16664000

Range Index,Elapsed Time, First Event,Last Event
0,13632,2,2
1,18880,34,34
2,1536,62,62
3,5856,70,70
4,21760,92,92
5,7680,100,100
6,24736,121,121
7,8288,127,127
8,2944,166,166
9,672,210,210
10,672,254,254
11,672,298,298
12,672,342,342
13,20928,369,369
14,13274080,381,381
