HUD frame time nsec:,16664000

Range Index,Elapsed Time, First Event,Last Event
0,11936,2,2
1,27648,34,34
2,27392,68,68
3,5824,76,76
4,22528,98,98
5,7680,106,106
6,26080,127,127
7,8480,133,133
8,3552,172,172
9,640,216,216
10,672,260,260
11,672,304,304
12,736,348,348
13,21568,375,375
14,12781376,387,387
