HUD frame time nsec:,16669000

Range Index,Elapsed Time, First Event,Last Event
0,12576,2,2
1,18784,34,34
2,1376,66,66
3,5888,74,74
4,21792,96,96
5,7680,104,104
6,23936,125,125
7,8256,131,131
8,2880,170,170
9,640,214,214
10,640,258,258
11,672,302,302
12,640,346,346
13,21312,373,373
14,13225024,385,385
