HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,12576,2,2
1,18912,34,34
2,2496,68,68
3,5824,76,76
4,22144,98,98
5,7648,106,106
6,25088,127,127
7,8384,133,133
8,2944,172,172
9,672,216,216
10,640,260,260
11,640,304,304
12,704,348,348
13,20512,375,375
14,13263584,387,387
