HUD frame time nsec:,16668000

Range Index,Elapsed Time, First Event,Last Event
0,19232,2,2
1,19008,34,34
2,23776,68,68
3,5888,76,76
4,22048,98,98
5,7616,106,106
6,24224,127,127
7,8544,133,133
8,2496,172,172
9,704,216,216
10,672,260,260
11,704,304,304
12,704,348,348
13,20384,375,375
14,13111648,387,387
