HUD frame time nsec:,16670000

Range Index,Elapsed Time, First Event,Last Event
0,12736,2,2
1,29664,34,34
2,978720,74,74
3,21792,107,107
4,5824,114,114
5,19552,136,136
6,7488,144,144
7,19968,165,165
8,8224,171,171
9,2880,210,210
10,704,254,254
11,672,298,298
12,672,342,342
13,704,386,386
14,19840,413,413
15,12762592,425,425
