HUD frame time nsec:,16664000

Range Index,Elapsed Time, First Event,Last Event
0,12480,2,2
1,19872,34,34
2,2848,62,62
3,5856,70,70
4,20480,92,92
5,7680,100,100
6,23072,121,121
7,8512,127,127
8,2624,166,166
9,704,210,210
10,672,254,254
11,672,298,298
12,672,342,342
13,20864,369,369
14,13354560,381,381
