HUD frame time nsec:,16668000

Range Index,Elapsed Time, First Event,Last Event
0,12576,2,2
1,27392,34,34
2,51424,68,68
3,5888,76,76
4,20576,98,98
5,7648,106,106
6,23520,127,127
7,8512,133,133
8,3232,172,172
9,672,216,216
10,672,260,260
11,672,304,304
12,672,348,348
13,19232,375,375
14,12532704,387,387
