HUD frame time nsec:,16665000

Range Index,Elapsed Time, First Event,Last Event
0,12960,2,2
1,24800,34,34
2,25952,68,68
3,5888,76,76
4,21760,98,98
5,7680,106,106
6,23904,127,127
7,8256,133,133
8,3328,172,172
9,768,216,216
10,640,260,260
11,640,304,304
12,672,348,348
13,20096,375,375
14,13661760,387,387
