HUD frame time nsec:,16663000

Range Index,Elapsed Time, First Event,Last Event
0,13216,2,2
1,25216,34,34
2,1203808,74,74
3,26976,107,107
4,704,140,140
5,5824,148,148
6,22048,170,170
7,7520,178,178
8,25472,199,199
9,8192,205,205
10,1760,244,244
11,928,288,288
12,704,332,332
13,672,376,376
14,704,420,420
15,23008,447,447
16,12086528,459,459

Range Index,Elapsed Time, First Event,Last Event
0,18944,2,2
1,17344,34,34
2,1216192,74,74
3,29984,107,107
4,672,140,140
5,5856,148,148
6,27520,170,170
7,7552,178,178
8,25024,199,199
9,8160,205,205
10,1696,244,244
11,832,288,288
12,672,332,332
13,704,376,376
14,672,420,420
15,23232,447,447
16,11978176,459,459
