HUD frame time nsec:,16662000

Range Index,Elapsed Time, First Event,Last Event
0,12512,2,2
1,19328,34,34
2,13568,62,62
3,5888,70,70
4,19008,92,92
5,7648,100,100
6,17824,121,121
7,8160,127,127
8,2368,166,166
9,640,210,210
10,672,254,254
11,640,298,298
12,672,342,342
13,17440,369,369
14,13493824,381,381
