HUD frame time nsec:,16670000

Range Index,Elapsed Time, First Event,Last Event
0,12480,2,2
1,20736,34,34
2,12640,66,66
3,5824,74,74
4,21984,96,96
5,7616,104,104
6,23520,125,125
7,8416,131,131
8,2656,170,170
9,672,214,214
10,672,258,258
11,672,302,302
12,640,346,346
13,20928,373,373
14,12212288,385,385
