HUD frame time nsec:,16664000

Range Index,Elapsed Time, First Event,Last Event
0,12288,2,2
1,25344,34,34
2,29280,68,68
3,5824,76,76
4,21760,98,98
5,7648,106,106
6,24128,127,127
7,8544,133,133
8,3392,172,172
9,672,216,216
10,640,260,260
11,672,304,304
12,704,348,348
13,21440,375,375
14,12723200,387,387
