HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,12736,2,2
1,18080,34,34
2,704,66,66
3,5888,74,74
4,21952,96,96
5,7680,104,104
6,24512,125,125
7,8384,131,131
8,3616,170,170
9,672,214,214
10,672,258,258
11,672,302,302
12,928,346,346
13,20000,373,373
14,12831488,385,385
