HUD frame time nsec:,16669000

Range Index,Elapsed Time, First Event,Last Event
0,12480,2,2
1,19168,34,34
2,2464,62,62
3,5856,70,70
4,21184,92,92
5,7648,100,100
6,23360,121,121
7,8832,127,127
8,2880,166,166
9,672,210,210
10,640,254,254
11,672,298,298
12,640,342,342
13,20192,369,369
14,13236288,381,381
