HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,15264,2,2
1,26240,34,34
2,4868672,68,68
3,7200,76,76
4,24544,98,98
5,8512,106,106
6,28128,127,127
7,10880,133,133
8,992,172,172
9,672,216,216
10,640,260,260
11,672,304,304
12,672,348,348
13,25760,375,375
14,7472064,387,387
