HUD frame time nsec:,16668000

Range Index,Elapsed Time, First Event,Last Event
0,19200,2,2
1,21632,34,34
2,15872,68,68
3,5824,76,76
4,25504,98,98
5,7680,106,106
6,28544,127,127
7,8256,133,133
8,3840,172,172
9,672,216,216
10,640,260,260
11,672,304,304
12,640,348,348
13,23488,375,375
14,13237408,387,387

Range Index,Elapsed Time, First Event,Last Event
0,12992,2,2
1,24928,34,34
2,29312,68,68
3,5824,76,76
4,20800,98,98
5,13664,106,106
6,16736,127,127
7,8384,133,133
8,2912,172,172
9,672,216,216
10,704,260,260
11,672,304,304
12,704,348,348
13,19328,375,375
14,12562816,387,387
